Country Name,Country Code,Indicator Name,Indicator Code,Year,Population
Burundi,BDI,"Population, total",SP.POP.TOTL,1960,2764258.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1960,86024.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1960,972547.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1960,21376693.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1960,7695307.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1960,3022294.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1960,2876331.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1960,2931559.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1960,9901419.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1960,7640973.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1961,2835119.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1961,89390.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1961,995573.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1961,21906102.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1961,7987770.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1961,3106779.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1961,2952054.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1961,2976724.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1961,10187886.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1961,7862217.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1962,2907943.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1962,93283.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1962,1019788.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1962,22465126.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1962,8299308.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1962,3186025.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1962,3030091.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1962,3024308.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1962,10487756.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1962,8092231.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1963,2969841.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1963,97872.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1963,1045092.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1963,23051637.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1963,8627971.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1963,3258890.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1963,3110361.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1963,3072669.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1963,10799528.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1963,8333663.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1964,3055650.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1964,103198.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1964,1071287.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1964,23666548.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1964,8973535.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1964,3334834.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1964,3192796.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1964,3129918.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1964,11127826.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1964,8586363.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1965,3141367.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1965,109092.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1965,1098335.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1965,24310612.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1965,9338078.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1965,3423210.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1965,3277874.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1965,3189835.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1965,11470728.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1965,8849203.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1966,3217960.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1966,115269.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1966,1124957.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1966,24952689.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1966,9717816.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1966,3521626.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1966,3365106.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1966,3236423.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1966,11827459.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1966,9122864.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1967,3300690.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1967,121649.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1967,1152339.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1967,25620276.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1967,10111057.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1967,3629577.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1967,3454537.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1967,3277648.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1967,12200109.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1967,9408924.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1968,3380387.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1968,128250.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1968,1181737.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1968,26337930.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1968,10518823.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1968,3744010.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1968,3546590.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1968,3321528.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1968,12602076.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1968,9708632.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1969,3454590.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1969,136078.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1969,1212005.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1969,27072571.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1969,10939695.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1969,3861271.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1969,3641015.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1969,3365533.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1969,13036700.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1969,10014858.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1970,3530432.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1970,145175.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1970,1243453.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1970,27829128.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1970,11368791.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1970,3980669.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1970,3738448.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1970,3409614.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1970,13492677.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1970,10321603.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1971,3617289.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1971,155136.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1971,1276154.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1971,28600106.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1971,11788904.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1971,4100044.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1971,3837691.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1971,3468646.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1971,13971451.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1971,10618206.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1972,3617128.0
